[*] Config Loaded: Name='flight-edm-vic-Teams', Duration=200s
[*] Launching Chrome for Teams...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 200 seconds...
[LOG] Time: 114s | RTT: 116.00 ms | State: connected
[LOG] Time: 115s | RTT: 102.00 ms | State: connected
[LOG] Time: 116s | RTT: 102.00 ms | State: connected
[LOG] Time: 117s | RTT: 107.00 ms | State: connected
[LOG] Time: 118s | RTT: 107.00 ms | State: connected
[LOG] Time: 119s | RTT: 107.00 ms | State: connected
[LOG] Time: 120s | RTT: 123.00 ms | State: connected
[LOG] Time: 122s | RTT: 123.00 ms | State: connected
[LOG] Time: 123s | RTT: 122.00 ms | State: connected
[LOG] Time: 124s | RTT: 122.00 ms | State: connected
[LOG] Time: 125s | RTT: 122.00 ms | State: connected
[LOG] Time: 126s | RTT: 129.00 ms | State: connected
[LOG] Time: 127s | RTT: 129.00 ms | State: connected
[LOG] Time: 128s | RTT: 119.00 ms | State: connected
[LOG] Time: 129s | RTT: 119.00 ms | State: connected
[LOG] Time: 130s | RTT: 104.00 ms | State: connected
[LOG] Time: 131s | RTT: 104.00 ms | State: connected
[LOG] Time: 132s | RTT: 104.00 ms | State: connected
[LOG] Time: 133s | RTT: 419.00 ms | State: connected
[LOG] Time: 134s | RTT: 419.00 ms | State: connected
[LOG] Time: 136s | RTT: 143.00 ms | State: connected
[LOG] Time: 137s | RTT: 143.00 ms | State: connected
[LOG] Time: 138s | RTT: 143.00 ms | State: connected
[LOG] Time: 139s | RTT: 174.00 ms | State: connected
[LOG] Time: 140s | RTT: 174.00 ms | State: connected
[LOG] Time: 141s | RTT: 212.00 ms | State: connected
[LOG] Time: 142s | RTT: 212.00 ms | State: connected
[LOG] Time: 143s | RTT: 212.00 ms | State: connected
[LOG] Time: 144s | RTT: 158.00 ms | State: connected
[LOG] Time: 145s | RTT: 158.00 ms | State: connected
[LOG] Time: 147s | RTT: 138.00 ms | State: connected
[LOG] Time: 148s | RTT: 138.00 ms | State: connected
[LOG] Time: 149s | RTT: 138.00 ms | State: connected
[LOG] Time: 150s | RTT: 105.00 ms | State: connected
[LOG] Time: 151s | RTT: 105.00 ms | State: connected
[LOG] Time: 152s | RTT: 128.00 ms | State: connected
[LOG] Time: 153s | RTT: 128.00 ms | State: connected
[LOG] Time: 154s | RTT: 92.00 ms | State: connected
[LOG] Time: 155s | RTT: 92.00 ms | State: connected
[LOG] Time: 156s | RTT: 92.00 ms | State: connected
[LOG] Time: 157s | RTT: 131.00 ms | State: connected
[LOG] Time: 158s | RTT: 131.00 ms | State: connected
[LOG] Time: 160s | RTT: 131.00 ms | State: connected
[LOG] Time: 161s | RTT: 328.00 ms | State: connected
[LOG] Time: 162s | RTT: 328.00 ms | State: connected
[LOG] Time: 163s | RTT: 118.00 ms | State: connected
[LOG] Time: 164s | RTT: 118.00 ms | State: connected
[LOG] Time: 165s | RTT: 132.00 ms | State: connected
[LOG] Time: 166s | RTT: 132.00 ms | State: connected
[LOG] Time: 167s | RTT: 132.00 ms | State: connected
[LOG] Time: 168s | RTT: 184.00 ms | State: connected
[LOG] Time: 169s | RTT: 184.00 ms | State: connected
[LOG] Time: 170s | RTT: 104.00 ms | State: connected
[LOG] Time: 172s | RTT: 104.00 ms | State: connected
[LOG] Time: 173s | RTT: 104.00 ms | State: connected
[LOG] Time: 174s | RTT: 119.00 ms | State: connected
[LOG] Time: 175s | RTT: 119.00 ms | State: connected
[LOG] Time: 176s | RTT: 170.00 ms | State: connected
[LOG] Time: 177s | RTT: 170.00 ms | State: connected
[LOG] Time: 178s | RTT: 106.00 ms | State: connected
[LOG] Time: 179s | RTT: 106.00 ms | State: connected
[LOG] Time: 180s | RTT: 106.00 ms | State: connected
[LOG] Time: 181s | RTT: 180.00 ms | State: connected
[LOG] Time: 182s | RTT: 180.00 ms | State: connected
[LOG] Time: 184s | RTT: 100.00 ms | State: connected
[LOG] Time: 185s | RTT: 100.00 ms | State: connected
[LOG] Time: 186s | RTT: 100.00 ms | State: connected
[LOG] Time: 187s | RTT: 127.00 ms | State: connected
[LOG] Time: 188s | RTT: 127.00 ms | State: connected
[LOG] Time: 189s | RTT: 122.00 ms | State: connected
[LOG] Time: 190s | RTT: 122.00 ms | State: connected
[LOG] Time: 191s | RTT: 150.00 ms | State: connected
[LOG] Time: 192s | RTT: 150.00 ms | State: connected
[LOG] Time: 194s | RTT: 150.00 ms | State: connected
[LOG] Time: 195s | RTT: 136.00 ms | State: connected
[LOG] Time: 196s | RTT: 136.00 ms | State: connected
[LOG] Time: 197s | RTT: 136.00 ms | State: connected
[LOG] Time: 198s | RTT: 136.00 ms | State: connected
[LOG] Time: 200s | RTT: 116.00 ms | State: connected
[*] Monitoring finished.

SUCCESS! Remote IP: 48.208.149.235
[*] Resolving Server Location...
SUCCESS! Server Location: Boydton, United States (Microsoft Corporation)

[*] Running TCP MTR (Port 443)...
Start: 2026-02-14T15:06:41+0000
HOST: f2ac5640061c                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    10    0.2   0.2   0.2   0.4   0.1
  2. AS???    10.1.0.1            30.0%    10  7173. 3085.   1.8 7179. 3345.2
  3. AS???    100.64.0.1           0.0%    10   24.7  35.0  22.0  80.4  18.6
  4. AS???    172.16.250.86        0.0%    10   26.5  28.4  20.7  46.6   8.8
  5. AS???    ???                 100.0    10    0.0   0.0   0.0   0.0   0.0
  6. AS14593  206.224.72.106       0.0%    10   18.7  35.2  18.7  73.6  15.5
        206.224.72.102                   
     AS14593  206.224.72.102
        206.224.72.98                    
     AS14593  206.224.72.98
        206.224.72.110                   
     AS14593  206.224.72.110
        206.224.72.100                   
     AS14593  206.224.72.100
  7. AS6461   207.245.205.202     50.0%    10   26.1  26.0  20.5  39.2   7.8
  8. AS6327   66.163.64.234        0.0%    10  2106. 1284.  19.5 5180. 1797.1
        64.125.31.255                    
     AS6461   64.125.31.255
  9. AS6327   66.163.72.70         0.0%    10  4154. 3011.  34.8 7246. 2671.7
        64.125.31.246                    
     AS6461   64.125.31.246
 10. AS8075   104.44.46.121       60.0%    10   45.1  55.6  40.4  87.3  21.5
 11. AS8075   51.10.20.99         50.0%    10   43.4  79.7  43.4 102.7  22.3
        104.44.55.252                    
     AS8075   104.44.55.252
 12. AS8075   104.44.21.149       20.0%    10  1145. 457.8  37.0 2176. 792.0
        104.44.44.225                    
     AS8075   104.44.44.225
 13. AS8075   51.10.4.7            0.0%    10   53.3  78.4  39.5 121.9  29.2
        51.10.34.29                      
     AS8075   51.10.34.29
        51.10.34.11                      
     AS8075   51.10.34.11
        104.44.53.187                    
     AS8075   104.44.53.187
        51.10.34.13                      
     AS8075   51.10.34.13
 14. AS8075   51.10.44.124        10.0%    10  103.4 439.2  85.1 2142. 726.0
        104.44.21.149                    
     AS8075   104.44.21.149
        51.10.32.91                      
     AS8075   51.10.32.91
        104.44.21.141                    
     AS8075   104.44.21.141
 15. AS8075   51.10.19.210         0.0%    10  4204. 1031.  87.1 4204. 1554.8
        51.10.15.192                     
     AS8075   51.10.15.192
        51.10.19.214                     
     AS8075   51.10.19.214
        51.10.15.194                     
     AS8075   51.10.15.194
        51.10.34.13                      
     AS8075   51.10.34.13
        51.10.34.11                      
     AS8075   51.10.34.11
 16. AS8075   51.10.0.63           0.0%    10  5235. 1450.  91.2 5238. 2107.9
        51.10.44.124                     
     AS8075   51.10.44.124
        51.10.44.130                     
     AS8075   51.10.44.130
        51.10.24.206                     
     AS8075   51.10.24.206
        51.10.5.42                       
     AS8075   51.10.5.42
 17. AS8075   51.10.19.210        10.0%    10  5239. 1941.  93.7 5239. 1964.8
        51.10.36.106                     
     AS8075   51.10.36.106
        51.10.19.214                     
     AS8075   51.10.19.214
        51.10.36.98                      
     AS8075   51.10.36.98
 18. AS8075   51.10.36.156        50.0%    10  3191. 1750. 113.0 3191. 1370.5
        51.10.0.69                       
     AS8075   51.10.0.69
        51.10.0.63                       
     AS8075   51.10.0.63
 19. AS8075   51.10.36.106        20.0%    10  3203. 1643.  90.6 4195. 1554.3
        51.10.36.98                      
     AS8075   51.10.36.98
        104.44.50.16                     
     AS8075   104.44.50.16
        104.44.51.186                    
     AS8075   104.44.51.186
 20. AS8075   51.10.36.208        20.0%    10  7305. 2276.  89.1 7305. 2424.8
        51.10.36.156                     
     AS8075   51.10.36.156
        51.10.17.157                     
     AS8075   51.10.17.157
        51.10.17.159                     
     AS8075   51.10.17.159
        51.10.21.57                      
     AS8075   51.10.21.57
 21. AS8075   51.10.19.16         30.0%    10  3198. 2298. 100.2 4206. 1610.8
        51.10.5.112                      
     AS8075   51.10.5.112
        104.44.50.16                     
     AS8075   104.44.50.16
        104.44.51.186                    
     AS8075   104.44.51.186
        51.10.5.42                       
     AS8075   51.10.5.42
        51.10.19.14                      
     AS8075   51.10.19.14
 22. AS8075   51.10.21.59         60.0%    10   88.0 2424.  88.0 3206. 1557.7
        51.10.17.159                     
     AS8075   51.10.17.159
 23. AS8075   51.10.5.110         40.0%    10   90.7 616.4  90.7 2161. 864.6
        51.10.5.44                       
     AS8075   51.10.5.44
        51.10.5.52                       
     AS8075   51.10.5.52
        51.10.5.88                       
     AS8075   51.10.5.88
        51.10.5.38                       
     AS8075   51.10.5.38
 24. AS???    ???                 100.0    10    0.0   0.0   0.0   0.0   0.0

[*] Running UDP MTR...
Start: 2026-02-14T15:07:03+0000
HOST: f2ac5640061c                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    10    0.2   0.2   0.1   0.3   0.1
  2. AS???    10.1.0.1             0.0%    10    3.0   2.3   1.6   3.0   0.4
  3. AS???    100.64.0.1           0.0%    10   28.1  25.5  19.1  33.5   4.7
  4. AS???    172.16.250.86        0.0%    10   22.5  23.5  21.3  27.4   1.8
  5. AS14593  206.224.72.124       0.0%    10   20.8  21.1  18.5  26.7   2.6
        206.224.72.116                   
     AS14593  206.224.72.116
        206.224.72.112                   
     AS14593  206.224.72.112
        206.224.72.120                   
     AS14593  206.224.72.120
  6. AS14593  206.224.72.110       0.0%    10   19.1  25.2  19.1  32.8   4.3
        206.224.72.108                   
     AS14593  206.224.72.108
        206.224.72.100                   
     AS14593  206.224.72.100
        206.224.72.104                   
     AS14593  206.224.72.104
        206.224.72.98                    
     AS14593  206.224.72.98
  7. AS6461   207.245.205.202     70.0%    10   24.6  24.2  19.1  28.9   4.9
  8. AS6461   64.125.31.255       30.0%    10   45.0  39.3  30.8  46.3   5.4
  9. AS6461   64.125.31.246       70.0%    10   31.8  38.0  31.8  43.1   5.8
        66.163.72.70                     
     AS6327   66.163.72.70
 10. AS8075   104.44.46.121       40.0%    10   34.6  52.1  33.6  96.1  22.9
 11. AS8075   104.44.55.252       60.0%    10   78.4  80.1  72.7  96.4  11.2
        51.10.20.99                      
     AS8075   51.10.20.99
 12. AS8075   104.44.21.149       20.0%    10   91.3  75.6  36.1 136.8  34.1
        104.44.44.225                    
     AS8075   104.44.44.225
        104.44.20.161                    
     AS8075   104.44.20.161
        104.44.21.141                    
     AS8075   104.44.21.141
 13. AS8075   104.44.18.224       10.0%    10   87.1  78.0  42.6 138.5  31.0
        104.44.53.187                    
     AS8075   104.44.53.187
        51.10.4.7                        
     AS8075   51.10.4.7
        51.10.34.29                      
     AS8075   51.10.34.29
        104.44.19.45                     
     AS8075   104.44.19.45
 14. AS8075   104.44.21.149       10.0%    10   89.6  90.3  84.6 105.0   6.2
        51.10.32.91                      
     AS8075   51.10.32.91
        51.10.44.124                     
     AS8075   51.10.44.124
        104.44.19.87                     
     AS8075   104.44.19.87
        104.44.21.141                    
     AS8075   104.44.21.141
        51.10.32.99                      
     AS8075   51.10.32.99
 15. AS8075   104.44.18.224       10.0%    10   94.1  88.6  83.7  94.4   4.4
        104.44.31.164                    
     AS8075   104.44.31.164
        104.44.31.201                    
     AS8075   104.44.31.201
        104.44.19.45                     
     AS8075   104.44.19.45
        51.10.17.248                     
     AS8075   51.10.17.248
 16. AS8075   51.10.0.63          20.0%    10   92.1 112.3  82.1 271.6  64.7
        104.44.19.87                     
     AS8075   104.44.19.87
        51.10.9.229                      
     AS8075   51.10.9.229
        51.10.5.44                       
     AS8075   51.10.5.44
        51.10.20.85                      
     AS8075   51.10.20.85
 17. AS8075   104.44.31.201       40.0%    10   85.1  89.9  85.1  94.9   3.5
        51.10.9.202                      
     AS8075   51.10.9.202
        51.10.19.214                     
     AS8075   51.10.19.214
 18. AS8075   51.10.9.229         40.0%    10   93.6 111.2  84.9 208.8  48.1
        51.10.20.85                      
     AS8075   51.10.20.85
        51.10.15.192                     
     AS8075   51.10.15.192
        104.44.29.250                    
     AS8075   104.44.29.250
 19. AS8075   51.10.5.58          60.0%    10   87.7  88.3  83.0  95.1   5.0
        51.10.9.202                      
     AS8075   51.10.9.202
 20. AS8075   51.10.21.59         90.0%    10  109.9 109.9 109.9 109.9   0.0
 21. AS8075   51.10.5.94          70.0%    10   86.3  87.3  86.3  87.8   0.8
        51.10.5.98                       
     AS8075   51.10.5.98
        51.10.5.58                       
     AS8075   51.10.5.58
 22. AS???    ???                 100.0    10    0.0   0.0   0.0   0.0   0.0
 23. AS8075   51.10.5.110         90.0%    10   88.3  88.3  88.3  88.3   0.0
 24. AS???    ???                 100.0    10    0.0   0.0   0.0   0.0   0.0
