[*] Config Loaded: Name='flight-hawaii-van-Teams', Duration=600s
[*] Launching Chrome for Teams...
[*] Joining URL: [REDACTED_TEAMS_MEETING_URL]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 600 seconds...
[LOG] Time: 115s | RTT: 162.00 ms | State: connected
[LOG] Time: 116s | RTT: 162.00 ms | State: connected
[LOG] Time: 117s | RTT: 204.00 ms | State: connected
[LOG] Time: 118s | RTT: 204.00 ms | State: connected
[LOG] Time: 119s | RTT: 204.00 ms | State: connected
[LOG] Time: 121s | RTT: 140.00 ms | State: connected
[LOG] Time: 122s | RTT: 140.00 ms | State: connected
[LOG] Time: 123s | RTT: 168.00 ms | State: connected
[LOG] Time: 124s | RTT: 168.00 ms | State: connected
[LOG] Time: 125s | RTT: 168.00 ms | State: connected
[LOG] Time: 126s | RTT: 176.00 ms | State: connected
[LOG] Time: 127s | RTT: 176.00 ms | State: connected
[LOG] Time: 128s | RTT: 169.00 ms | State: connected
[LOG] Time: 129s | RTT: 169.00 ms | State: connected
[LOG] Time: 130s | RTT: 169.00 ms | State: connected
[LOG] Time: 131s | RTT: 150.00 ms | State: connected
[LOG] Time: 132s | RTT: 150.00 ms | State: connected
[LOG] Time: 134s | RTT: 166.00 ms | State: connected
[LOG] Time: 135s | RTT: 166.00 ms | State: connected
[LOG] Time: 136s | RTT: 166.00 ms | State: connected
[LOG] Time: 137s | RTT: 146.00 ms | State: connected
[LOG] Time: 138s | RTT: 146.00 ms | State: connected
[LOG] Time: 139s | RTT: 138.00 ms | State: connected
[LOG] Time: 140s | RTT: 138.00 ms | State: connected
[LOG] Time: 141s | RTT: 138.00 ms | State: connected
[LOG] Time: 142s | RTT: 194.00 ms | State: connected
[LOG] Time: 143s | RTT: 194.00 ms | State: connected
[LOG] Time: 144s | RTT: 120.00 ms | State: connected
[LOG] Time: 145s | RTT: 120.00 ms | State: connected
[LOG] Time: 147s | RTT: 149.00 ms | State: connected
[LOG] Time: 148s | RTT: 149.00 ms | State: connected
[LOG] Time: 149s | RTT: 149.00 ms | State: connected
[LOG] Time: 150s | RTT: 190.00 ms | State: connected
[LOG] Time: 151s | RTT: 190.00 ms | State: connected
[LOG] Time: 152s | RTT: 147.00 ms | State: connected
[LOG] Time: 153s | RTT: 147.00 ms | State: connected
[LOG] Time: 154s | RTT: 147.00 ms | State: connected
[LOG] Time: 155s | RTT: 136.00 ms | State: connected
[LOG] Time: 156s | RTT: 136.00 ms | State: connected
[LOG] Time: 157s | RTT: 143.00 ms | State: connected
[LOG] Time: 158s | RTT: 143.00 ms | State: connected
[LOG] Time: 160s | RTT: 143.00 ms | State: connected
[LOG] Time: 161s | RTT: 129.00 ms | State: connected
[LOG] Time: 162s | RTT: 129.00 ms | State: connected
[LOG] Time: 163s | RTT: 174.00 ms | State: connected
[LOG] Time: 164s | RTT: 174.00 ms | State: connected
[LOG] Time: 165s | RTT: 124.00 ms | State: connected
[LOG] Time: 166s | RTT: 124.00 ms | State: connected
[LOG] Time: 167s | RTT: 124.00 ms | State: connected
[LOG] Time: 168s | RTT: 183.00 ms | State: connected
[LOG] Time: 169s | RTT: 183.00 ms | State: connected
[LOG] Time: 171s | RTT: 153.00 ms | State: connected
[LOG] Time: 172s | RTT: 153.00 ms | State: connected
[LOG] Time: 173s | RTT: 153.00 ms | State: connected
[LOG] Time: 174s | RTT: 150.00 ms | State: connected
[LOG] Time: 175s | RTT: 150.00 ms | State: connected
[LOG] Time: 176s | RTT: 243.00 ms | State: connected
