[*] Config Loaded: Name='flight-tor-edm-Teams', Duration=200s
[*] Launching Chrome for Teams...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 200 seconds...
[LOG] Time: 114s | RTT: 119.00 ms | State: connected
[LOG] Time: 115s | RTT: 119.00 ms | State: connected
[LOG] Time: 116s | RTT: 119.00 ms | State: connected
[LOG] Time: 117s | RTT: 51.00 ms | State: connected
[LOG] Time: 118s | RTT: 51.00 ms | State: connected
[LOG] Time: 119s | RTT: 60.00 ms | State: connected
[LOG] Time: 121s | RTT: 60.00 ms | State: connected
[LOG] Time: 122s | RTT: 60.00 ms | State: connected
[LOG] Time: 123s | RTT: 86.00 ms | State: connected
[LOG] Time: 124s | RTT: 86.00 ms | State: connected
[LOG] Time: 125s | RTT: 74.00 ms | State: connected
[LOG] Time: 126s | RTT: 74.00 ms | State: connected
[LOG] Time: 127s | RTT: 74.00 ms | State: connected
[LOG] Time: 128s | RTT: 123.00 ms | State: connected
[LOG] Time: 129s | RTT: 123.00 ms | State: connected
[LOG] Time: 130s | RTT: 99.00 ms | State: connected
[LOG] Time: 132s | RTT: 99.00 ms | State: connected
[LOG] Time: 133s | RTT: 77.00 ms | State: connected
[LOG] Time: 134s | RTT: 77.00 ms | State: connected
[LOG] Time: 135s | RTT: 77.00 ms | State: connected
[LOG] Time: 136s | RTT: 74.00 ms | State: connected
[LOG] Time: 137s | RTT: 74.00 ms | State: connected
[LOG] Time: 138s | RTT: 72.00 ms | State: connected
[LOG] Time: 139s | RTT: 72.00 ms | State: connected
[LOG] Time: 140s | RTT: 72.00 ms | State: connected
[LOG] Time: 141s | RTT: 61.00 ms | State: connected
[LOG] Time: 142s | RTT: 61.00 ms | State: connected
[LOG] Time: 143s | RTT: 86.00 ms | State: connected
[LOG] Time: 145s | RTT: 86.00 ms | State: connected
[LOG] Time: 146s | RTT: 86.00 ms | State: connected
[LOG] Time: 147s | RTT: 95.00 ms | State: connected
[LOG] Time: 148s | RTT: 95.00 ms | State: connected
[LOG] Time: 149s | RTT: 75.00 ms | State: connected
[LOG] Time: 150s | RTT: 75.00 ms | State: connected
[LOG] Time: 151s | RTT: 66.00 ms | State: connected
[LOG] Time: 152s | RTT: 66.00 ms | State: connected
[LOG] Time: 153s | RTT: 66.00 ms | State: connected
[LOG] Time: 154s | RTT: 71.00 ms | State: connected
[LOG] Time: 156s | RTT: 71.00 ms | State: connected
[LOG] Time: 157s | RTT: 87.00 ms | State: connected
[LOG] Time: 158s | RTT: 87.00 ms | State: connected
[LOG] Time: 159s | RTT: 87.00 ms | State: connected
[LOG] Time: 160s | RTT: 73.00 ms | State: connected
[LOG] Time: 161s | RTT: 73.00 ms | State: connected
[LOG] Time: 162s | RTT: 68.00 ms | State: connected
[LOG] Time: 163s | RTT: 68.00 ms | State: connected
[LOG] Time: 165s | RTT: 93.00 ms | State: connected
[LOG] Time: 166s | RTT: 93.00 ms | State: connected
[LOG] Time: 167s | RTT: 93.00 ms | State: connected
[LOG] Time: 168s | RTT: 80.00 ms | State: connected
[LOG] Time: 169s | RTT: 80.00 ms | State: connected
[LOG] Time: 170s | RTT: 119.00 ms | State: connected
[LOG] Time: 171s | RTT: 119.00 ms | State: connected
[LOG] Time: 172s | RTT: 101.00 ms | State: connected
[LOG] Time: 174s | RTT: 101.00 ms | State: connected
[LOG] Time: 175s | RTT: 101.00 ms | State: connected
[LOG] Time: 176s | RTT: 41.00 ms | State: connected
[LOG] Time: 177s | RTT: 41.00 ms | State: connected
[LOG] Time: 178s | RTT: 90.00 ms | State: connected
[LOG] Time: 179s | RTT: 90.00 ms | State: connected
[LOG] Time: 180s | RTT: 52.00 ms | State: connected
[LOG] Time: 182s | RTT: 52.00 ms | State: connected
[LOG] Time: 183s | RTT: 52.00 ms | State: connected
[LOG] Time: 184s | RTT: 92.00 ms | State: connected
[LOG] Time: 185s | RTT: 92.00 ms | State: connected
[LOG] Time: 186s | RTT: 87.00 ms | State: connected
[LOG] Time: 187s | RTT: 87.00 ms | State: connected
[LOG] Time: 189s | RTT: 72.00 ms | State: connected
[LOG] Time: 190s | RTT: 72.00 ms | State: connected
[LOG] Time: 191s | RTT: 72.00 ms | State: connected
[LOG] Time: 192s | RTT: 96.00 ms | State: connected
[LOG] Time: 193s | RTT: 96.00 ms | State: connected
[LOG] Time: 194s | RTT: 72.00 ms | State: connected
[LOG] Time: 195s | RTT: 72.00 ms | State: connected
[LOG] Time: 196s | RTT: 72.00 ms | State: connected
[LOG] Time: 197s | RTT: 103.00 ms | State: connected
[LOG] Time: 198s | RTT: 103.00 ms | State: connected
[LOG] Time: 200s | RTT: 87.00 ms | State: connected
[*] Monitoring finished.

SUCCESS! Remote IP: 48.208.141.46
[*] Resolving Server Location...
SUCCESS! Server Location: Boydton, United States (Microsoft Corporation)

[*] Running TCP MTR (Port 443)...
Start: 2026-02-14T04:43:02+0000
HOST: 9fea0dbda3c1                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    10    0.2   0.2   0.2   0.3   0.0
  2. AS???    10.1.0.1            10.0%    10  2075. 249.0   3.2 2075. 685.6
  3. AS???    100.64.0.1           0.0%    10   55.7  38.6  22.2  93.5  23.1
  4. AS???    172.16.250.62        0.0%    10   23.3  33.6  19.4  54.6  12.6
  5. AS???    ???                 100.0    10    0.0   0.0   0.0   0.0   0.0
  6. AS14593  206.224.64.89        0.0%    10   30.3  46.0  19.3  90.4  28.0
        206.224.64.101                   
     AS14593  206.224.64.101
        206.224.64.103                   
     AS14593  206.224.64.103
        206.224.64.91                    
     AS14593  206.224.64.91
  7. AS8075   104.44.57.189        0.0%    10  106.3  43.7  20.7 106.3  28.8
        104.44.57.193                    
     AS8075   104.44.57.193
  8. AS8075   51.10.41.52          0.0%    10  2057. 1063.  23.0 3130. 1082.6
        51.10.36.212                     
     AS8075   51.10.36.212
        51.10.36.206                     
     AS8075   51.10.36.206
        51.10.37.2                       
     AS8075   51.10.37.2
  9. AS8075   104.44.52.217       50.0%    10  126.7 269.7  37.1 1056. 441.1
        104.44.52.215                    
     AS8075   104.44.52.215
        104.44.52.201                    
     AS8075   104.44.52.201
 10. AS8075   51.10.4.60          60.0%    10   45.4  55.7  45.4  70.4  11.9
        51.10.20.85                      
     AS8075   51.10.20.85
 11. AS8075   51.10.35.241        50.0%    10   60.9 2213.  49.9 4424. 2028.5
        104.44.52.96                     
     AS8075   104.44.52.96
 12. AS8075   104.44.51.200        0.0%    10  5155. 1614.  37.4 5155. 1761.7
        51.10.5.106                      
     AS8075   51.10.5.106
        51.10.24.204                     
     AS8075   51.10.24.204
        51.10.5.108                      
     AS8075   51.10.5.108
        51.10.5.114                      
     AS8075   51.10.5.114
        51.10.5.34                       
     AS8075   51.10.5.34
        51.10.5.96                       
     AS8075   51.10.5.96
 13. AS8075   51.10.5.60          40.0%    10  1208. 786.3  36.5 2117. 834.1
        51.10.5.50                       
     AS8075   51.10.5.50
        51.10.5.112                      
     AS8075   51.10.5.112
        51.10.5.94                       
     AS8075   51.10.5.94
        51.10.5.42                       
     AS8075   51.10.5.42
 14. AS???    ???                 100.0    10    0.0   0.0   0.0   0.0   0.0

[*] Running UDP MTR...
Start: 2026-02-14T04:43:22+0000
HOST: 9fea0dbda3c1                Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS???    172.17.0.1           0.0%    10    0.2   0.1   0.1   0.2   0.0
  2. AS???    10.1.0.1            70.0%    10  241.5 106.2   5.7 241.5 121.6
  3. AS???    100.64.0.1           0.0%    10  223.2  53.3  22.0 223.2  60.8
  4. AS???    172.16.250.62        0.0%    10  186.3  58.5  21.0 186.3  53.8
  5. AS14593  206.224.64.96        0.0%    10  149.1 114.0  29.9 255.3  75.7
        206.224.64.84                    
     AS14593  206.224.64.84
        206.224.64.72                    
     AS14593  206.224.64.72
  6. AS14593  206.224.64.77        0.0%    10  112.0  55.6  21.6 164.4  47.0
        206.224.64.101                   
     AS14593  206.224.64.101
        206.224.64.79                    
     AS14593  206.224.64.79
        206.224.64.103                   
     AS14593  206.224.64.103
        206.224.64.65                    
     AS14593  206.224.64.65
  7. AS8075   104.44.57.189        0.0%    10   74.6  79.8  21.0 266.9  69.1
        104.44.57.193                    
     AS8075   104.44.57.193
  8. AS8075   51.10.37.2          60.0%    10   40.9  48.6  31.8  82.9  23.2
        51.10.41.52                      
     AS8075   51.10.41.52
        51.10.36.212                     
     AS8075   51.10.36.212
  9. AS8075   104.44.52.173       70.0%    10   59.1 123.8  59.1 250.1 109.4
        104.44.52.223                    
     AS8075   104.44.52.223
 10. AS8075   51.10.4.60          40.0%    10   71.9  72.2  51.8 121.8  25.4
        51.10.4.62                       
     AS8075   51.10.4.62
        51.10.20.85                      
     AS8075   51.10.20.85
        51.10.20.87                      
     AS8075   51.10.20.87
 11. AS8075   51.10.10.4          40.0%    10   86.9  81.7  40.3 192.7  56.8
        51.10.35.245                     
     AS8075   51.10.35.245
        51.10.35.241                     
     AS8075   51.10.35.241
        51.10.1.110                      
     AS8075   51.10.1.110
 12. AS8075   104.44.51.200       90.0%    10   44.5  44.5  44.5  44.5   0.0
 13. AS8075   51.10.5.112         50.0%    10   53.3  92.2  50.5 193.8  59.4
        51.10.5.92                       
     AS8075   51.10.5.92
        51.10.5.38                       
     AS8075   51.10.5.38
        51.10.5.96                       
     AS8075   51.10.5.96
 14. AS???    ???                 100.0    10    0.0   0.0   0.0   0.0   0.0
