[*] Config Loaded: Name='flight-van-howaei-Teams', Duration=300s
[*] Launching Chrome for Teams...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 300 seconds...
[LOG] Time: 114s | RTT: 199.00 ms | State: connected
[LOG] Time: 115s | RTT: 199.00 ms | State: connected
[LOG] Time: 116s | RTT: 199.00 ms | State: connected
[LOG] Time: 117s | RTT: 199.00 ms | State: connected
[LOG] Time: 119s | RTT: 209.00 ms | State: connected
[LOG] Time: 120s | RTT: 209.00 ms | State: connected
[LOG] Time: 121s | RTT: 177.00 ms | State: connected
[LOG] Time: 122s | RTT: 177.00 ms | State: connected
[LOG] Time: 123s | RTT: 177.00 ms | State: connected
[LOG] Time: 124s | RTT: 186.00 ms | State: connected
[LOG] Time: 125s | RTT: 186.00 ms | State: connected
[LOG] Time: 126s | RTT: 207.00 ms | State: connected
[LOG] Time: 127s | RTT: 207.00 ms | State: connected
[LOG] Time: 128s | RTT: 196.00 ms | State: connected
[LOG] Time: 130s | RTT: 196.00 ms | State: connected
[LOG] Time: 131s | RTT: 196.00 ms | State: connected
[LOG] Time: 132s | RTT: 281.00 ms | State: connected
[LOG] Time: 133s | RTT: 281.00 ms | State: connected
[LOG] Time: 134s | RTT: 204.00 ms | State: connected
[LOG] Time: 135s | RTT: 204.00 ms | State: connected
[LOG] Time: 136s | RTT: 204.00 ms | State: connected
[LOG] Time: 137s | RTT: 224.00 ms | State: connected
[LOG] Time: 138s | RTT: 224.00 ms | State: connected
[LOG] Time: 139s | RTT: 209.00 ms | State: connected
[LOG] Time: 140s | RTT: 209.00 ms | State: connected
[LOG] Time: 141s | RTT: 209.00 ms | State: connected
[LOG] Time: 143s | RTT: 194.00 ms | State: connected
[LOG] Time: 144s | RTT: 194.00 ms | State: connected
[LOG] Time: 145s | RTT: 192.00 ms | State: connected
[LOG] Time: 146s | RTT: 192.00 ms | State: connected
[LOG] Time: 147s | RTT: 192.00 ms | State: connected
[LOG] Time: 148s | RTT: 228.00 ms | State: connected
[LOG] Time: 149s | RTT: 228.00 ms | State: connected
[LOG] Time: 150s | RTT: 197.00 ms | State: connected
[LOG] Time: 151s | RTT: 197.00 ms | State: connected
[LOG] Time: 152s | RTT: 195.00 ms | State: connected
[LOG] Time: 153s | RTT: 195.00 ms | State: connected
[LOG] Time: 155s | RTT: 195.00 ms | State: connected
[LOG] Time: 156s | RTT: 462.00 ms | State: connected
[LOG] Time: 157s | RTT: 462.00 ms | State: connected
[LOG] Time: 158s | RTT: 304.00 ms | State: connected
[LOG] Time: 159s | RTT: 304.00 ms | State: connected
[LOG] Time: 160s | RTT: 304.00 ms | State: connected
[LOG] Time: 161s | RTT: 254.00 ms | State: connected
[LOG] Time: 162s | RTT: 254.00 ms | State: connected
[LOG] Time: 163s | RTT: 173.00 ms | State: connected
[LOG] Time: 165s | RTT: 173.00 ms | State: connected
[LOG] Time: 166s | RTT: 173.00 ms | State: connected
[LOG] Time: 167s | RTT: 301.00 ms | State: connected
[LOG] Time: 168s | RTT: 301.00 ms | State: connected
[LOG] Time: 169s | RTT: 235.00 ms | State: connected
[LOG] Time: 170s | RTT: 235.00 ms | State: connected
[LOG] Time: 171s | RTT: 195.00 ms | State: connected
[LOG] Time: 172s | RTT: 195.00 ms | State: connected
[LOG] Time: 173s | RTT: 195.00 ms | State: connected
[LOG] Time: 174s | RTT: 305.00 ms | State: connected
[LOG] Time: 175s | RTT: 305.00 ms | State: connected
[LOG] Time: 177s | RTT: 227.00 ms | State: connected
[LOG] Time: 178s | RTT: 227.00 ms | State: connected
[LOG] Time: 179s | RTT: 227.00 ms | State: connected
[LOG] Time: 180s | RTT: 252.00 ms | State: connected
[LOG] Time: 181s | RTT: 252.00 ms | State: connected
[LOG] Time: 182s | RTT: 189.00 ms | State: connected
[LOG] Time: 183s | RTT: 189.00 ms | State: connected
[LOG] Time: 184s | RTT: 260.00 ms | State: connected
[LOG] Time: 185s | RTT: 260.00 ms | State: connected
[LOG] Time: 186s | RTT: 260.00 ms | State: connected
[LOG] Time: 188s | RTT: 204.00 ms | State: connected
[LOG] Time: 189s | RTT: 204.00 ms | State: connected
[LOG] Time: 190s | RTT: 182.00 ms | State: connected
[LOG] Time: 191s | RTT: 182.00 ms | State: connected
[LOG] Time: 192s | RTT: 182.00 ms | State: connected
[LOG] Time: 193s | RTT: 230.00 ms | State: connected
[LOG] Time: 194s | RTT: 230.00 ms | State: connected
[LOG] Time: 195s | RTT: 190.00 ms | State: connected
[LOG] Time: 196s | RTT: 190.00 ms | State: connected
[LOG] Time: 198s | RTT: 244.00 ms | State: connected
[LOG] Time: 199s | RTT: 244.00 ms | State: connected
[LOG] Time: 200s | RTT: 244.00 ms | State: connected
[LOG] Time: 201s | RTT: 238.00 ms | State: connected
[LOG] Time: 202s | RTT: 238.00 ms | State: connected
[LOG] Time: 203s | RTT: 238.00 ms | State: connected
[LOG] Time: 204s | RTT: 646.00 ms | State: connected
[LOG] Time: 205s | RTT: 646.00 ms | State: connected
[LOG] Time: 206s | RTT: 212.00 ms | State: connected
[LOG] Time: 207s | RTT: 212.00 ms | State: connected
[LOG] Time: 208s | RTT: 213.00 ms | State: connected
[LOG] Time: 210s | RTT: 213.00 ms | State: connected
[LOG] Time: 211s | RTT: 213.00 ms | State: connected
[LOG] Time: 212s | RTT: 231.00 ms | State: connected
[LOG] Time: 213s | RTT: 231.00 ms | State: connected
[LOG] Time: 214s | RTT: 228.00 ms | State: connected
[LOG] Time: 215s | RTT: 228.00 ms | State: connected
[LOG] Time: 216s | RTT: 218.00 ms | State: connected
[LOG] Time: 217s | RTT: 218.00 ms | State: connected
[LOG] Time: 218s | RTT: 218.00 ms | State: connected
[LOG] Time: 219s | RTT: 207.00 ms | State: connected
[LOG] Time: 220s | RTT: 207.00 ms | State: connected
[LOG] Time: 221s | RTT: 198.00 ms | State: connected
[LOG] Time: 223s | RTT: 198.00 ms | State: connected
[LOG] Time: 224s | RTT: 198.00 ms | State: connected
[LOG] Time: 225s | RTT: 197.00 ms | State: connected
[LOG] Time: 226s | RTT: 197.00 ms | State: connected
[LOG] Time: 227s | RTT: 193.00 ms | State: connected
[LOG] Time: 228s | RTT: 193.00 ms | State: connected
[LOG] Time: 229s | RTT: 193.00 ms | State: connected
[LOG] Time: 230s | RTT: 246.00 ms | State: connected
[LOG] Time: 231s | RTT: 246.00 ms | State: connected
[LOG] Time: 232s | RTT: 185.00 ms | State: connected
[LOG] Time: 233s | RTT: 185.00 ms | State: connected
[LOG] Time: 234s | RTT: 185.00 ms | State: connected
[LOG] Time: 236s | RTT: 199.00 ms | State: connected
[LOG] Time: 237s | RTT: 199.00 ms | State: connected
[LOG] Time: 238s | RTT: 306.00 ms | State: connected
